name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
london,2021-12-29T00:00:00,9.3,9.3,6.5,82.7,0,0,,0,0,,0.1,240,1004.7,68.5,38,,,,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T01:00:00,8.8,8.8,6.6,86.11,0,0,,0,0,,0.1,215,1005.1,57.3,33.6,,,,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T02:00:00,8.5,8.5,6.6,87.87,0,0,,0,0,,0.1,214,1005.1,62.2,28.1,,,,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T03:00:00,7.8,7.8,6.1,89.04,0,0,,0,0,,0,188,1004.9,89.1,27.7,,,,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T04:00:00,8,8,6.6,90.88,0,0,,0,0,,0,185,1004.4,90,28.7,,,,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T05:00:00,8.8,8.8,7,88.51,0,0,,0,0,,0.1,154,1003.9,94.7,17.8,,,,,Overcast,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T06:00:00,9.1,9.1,7.3,88.55,0,0,,0,0,,0.1,175,1003.9,75.8,3.1,,,,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T07:00:00,9,9,8.1,94.12,0.2,100,rain,0,0,,0.1,157,1002.9,95.4,11.2,,,,,"Rain, Overcast",rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T08:00:00,9.1,9.1,8.3,94.75,0.2,100,rain,0,0,,0.1,161,1002.2,93.7,7.7,,,,,"Rain, Overcast",rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T09:00:00,10.1,10.1,9.3,94.8,0,0,,0,0,,0.1,178,1001.8,100,12.6,8,0,0,,Overcast,cloudy,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T10:00:00,10.6,10.6,10.1,96.72,0.6,100,rain,0,0,,0.1,188,1001.5,100,4.4,16,0.1,0,,"Rain, Overcast",rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T11:00:00,11.6,11.6,11.5,99.32,0.4,100,rain,0,0,,0.1,212,1001.2,96.3,8.9,33,0.1,0,,"Rain, Overcast",rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T12:00:00,13.8,13.8,12.8,93.71,0.02,100,rain,0,0,,0.1,230,1001.1,97.2,8.5,46,0.2,0,,"Rain, Overcast",rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T13:00:00,14.6,14.6,13.1,90.74,0,0,,0,0,44.6,0.2,234,1001.2,96.3,9.9,57,0.2,1,,Overcast,cloudy,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T14:00:00,15.1,15.1,13,87.28,0,0,,0,0,49.4,0.2,256,1002,89.1,31.3,65,0.2,1,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T15:00:00,15.1,15.1,10.5,74.04,0,0,,0,0,55,0.2,256,1003,78.9,26.6,34,0.1,0,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T16:00:00,13.6,13.6,9.1,73.79,0,0,,0,0,55.2,0.2,260,1004.4,54,21.4,13,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T17:00:00,13,13,8.6,74.65,0,0,,0,0,,0.1,256,1005.7,44.7,16.7,,,,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2021-12-29T18:00:00,12.1,12.1,8.3,77.6,0,0,,0,0,,0.1,246,1006.4,50.2,16,,,,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
