WorkDay,Holiday,conditions,hour,temp,feelslike,dew,humidity,cloudcover,visibility
True,True,"Rain, Partially cloudy",11,4.8,4.8,3.3,90.02,89.9,9.2
True,True,"Rain, Overcast",12,3.6,3.6,2.1,89.91,96.9,8.9
True,True,"Rain, Partially cloudy",13,4.0,0.3,0.7,78.56,90.0,17.1
True,True,Partially cloudy,14,4.5,4.5,0.6,75.84,59.5,37.8
True,True,Partially cloudy,15,4.5,4.5,0.3,74.21,58.7,37.8
True,True,Partially cloudy,16,4.5,4.5,-0.6,69.04,50.3,37.8
True,True,Partially cloudy,17,3.8,3.8,-0.9,71.44,58.7,37.8
True,True,Partially cloudy,18,3.8,3.8,-1.4,68.88,31.7,32.4
True,True,Clear,19,2.5,2.5,-1.4,75.5,5.6,30.1
True,True,Clear,20,2.1,2.1,-1.5,77.08,5.6,23.9
True,True,Clear,21,2.3,2.3,-1.2,77.7,0.0,23.6
True,True,Clear,22,2.6,2.6,-0.9,77.76,0.0,25.5
True,True,Clear,23,2.1,2.1,-1.0,79.97,0.0,30.1
True,False,Clear,0,2.1,2.1,-1.0,79.95,0.0,28.6
True,False,Clear,1,1.8,1.8,-1.2,80.5,0.0,32.4
True,False,Clear,2,1.6,1.6,-1.5,79.89,0.0,34.0
True,False,Clear,3,1.8,1.8,-1.4,79.35,0.0,32.4
True,False,Clear,4,1.8,1.8,-1.4,79.34,0.0,34.0
True,False,Clear,5,2.3,2.3,-1.2,77.71,0.0,30.5
True,False,Clear,6,2.1,2.1,-1.0,79.96,0.0,30.5
True,False,Clear,7,1.8,1.8,-0.9,82.27,0.0,27.4
True,False,Clear,8,1.8,1.8,-0.9,82.27,0.0,30.5
True,False,Clear,9,2.3,2.3,-0.7,80.57,5.6,28.6
True,False,Clear,10,3.1,3.1,-0.2,78.94,5.6,22.4
True,False,Clear,11,5.1,5.1,0.3,71.16,5.6,21.7
True,False,Clear,12,6.5,6.5,0.3,64.61,19.4,23.9
True,False,Partially cloudy,13,6.3,6.3,0.3,65.5,25.4,27.8
True,False,Partially cloudy,14,6.3,6.3,0.2,64.56,63.8,30.9
True,False,Partially cloudy,15,6.3,6.3,-0.1,63.18,25.4,34.0
True,False,Clear,16,5.5,5.5,0.1,68.23,16.1,32.4
True,False,Clear,17,5.1,5.1,0.6,72.73,5.6,30.5
True,False,Clear,18,4.0,4.0,0.6,78.54,5.6,30.1
True,False,Clear,19,3.6,3.6,0.6,80.76,5.6,22.0
True,False,Partially cloudy,20,4.5,4.5,0.8,76.97,22.5,19.1
True,False,Partially cloudy,21,3.8,3.8,0.1,76.85,34.9,18.5
True,False,Clear,22,1.3,1.3,-1.0,84.69,3.1,17.9
True,False,Clear,23,1.1,1.1,-0.2,91.05,0.0,14.1
True,False,Clear,0,0.3,0.3,-0.9,91.66,0.0,15.3
True,False,Clear,1,-0.2,-0.2,-0.9,95.02,0.0,16.9
True,False,Clear,2,0.1,0.1,-0.5,95.73,0.0,13.5
True,False,Clear,3,-0.4,-0.4,-1.4,92.96,0.0,11.4
True,False,Clear,4,-1.2,-1.2,-2.0,94.29,5.6,9.3
True,False,Clear,5,-0.9,-0.9,-1.2,97.81,0.0,11.5
True,False,Clear,6,-1.5,-1.5,-2.2,94.99,0.0,12.7
True,False,Clear,7,-1.9,-1.9,-2.4,96.36,0.0,17.5
True,False,Partially cloudy,8,-1.2,-1.2,-1.4,98.5,27.9,11.9
True,False,Partially cloudy,9,-0.9,-0.9,-1.4,96.4,22.3,11.0
True,False,Partially cloudy,10,0.6,0.6,0.0,95.71,46.7,11.7
True,False,Partially cloudy,11,3.1,3.1,0.3,81.89,65.2,18.5
True,False,Partially cloudy,12,4.5,4.5,-1.1,66.6,90.0,21.2
True,False,Partially cloudy,13,4.6,4.6,-1.1,66.11,69.2,23.2
True,False,Partially cloudy,14,5.1,5.1,1.1,74.86,90.0,24.7
True,False,Partially cloudy,15,5.6,5.6,2.0,77.65,75.6,24.3
True,False,Partially cloudy,16,6.6,6.6,2.4,74.06,69.5,28.2
True,False,"Rain, Partially cloudy",17,7.0,7.0,2.8,74.62,81.7,28.2
True,False,Overcast,18,7.3,7.3,2.9,73.14,100.0,20.2
True,False,Overcast,19,7.1,7.1,4.2,81.27,96.9,18.1
True,False,Overcast,20,6.8,6.8,5.2,88.95,96.9,4.7
True,False,"Rain, Overcast",21,7.1,7.1,5.8,91.47,97.0,22.2
True,False,Partially cloudy,22,6.8,6.8,5.7,92.08,41.7,28.9
True,False,"Rain, Partially cloudy",23,7.3,7.3,6.3,93.34,90.0,21.7
True,False,"Rain, Partially cloudy",0,6.1,6.1,4.5,89.47,22.5,21.7
True,False,Clear,1,6.1,6.1,2.8,79.41,14.7,37.8
True,False,Partially cloudy,2,4.8,4.8,2.6,85.65,37.9,34.3
True,False,Partially cloudy,3,5.3,5.3,2.5,82.15,51.0,29.3
True,False,Partially cloudy,4,5.0,5.0,2.5,83.87,26.2,32.4
True,False,Partially cloudy,5,4.6,4.6,2.1,83.81,33.9,35.9
True,False,Clear,6,4.3,4.3,1.1,79.71,13.2,39.7
True,False,Partially cloudy,7,4.0,4.0,1.0,80.82,34.8,34.0
True,False,Clear,8,3.8,3.8,1.0,81.96,16.7,34.0
True,False,Clear,9,3.6,3.6,0.8,81.95,14.7,34.0
True,False,Clear,10,4.1,4.1,1.1,80.82,5.6,37.8
True,False,Clear,11,5.8,5.8,1.3,72.85,5.6,29.3
True,False,Partially cloudy,12,6.3,6.3,0.8,67.9,33.1,34.7
True,False,Partially cloudy,13,6.1,6.1,0.4,66.44,26.2,30.9
True,False,Partially cloudy,14,5.6,5.6,0.8,71.25,50.2,34.0
True,False,Partially cloudy,15,5.5,5.5,1.0,72.8,62.6,32.0
