target
1470
1532
1084
696
447
320
213
193
244
364
655
1058
1412
1704
1754
1945
1543
1255
1018
835
856
726
618
545
352
217
169
74
60
38
92
127
250
512
981
1333
1619
1463
1466
1265
1221
1063
1016
919
732
562
565
398
277
197
97
52
36
67
144
223
374
671
1001
1391
1662
1803
1977
1929
1651
1376
1133
855
613
480
529
290
175
127
76
55
63
121
494
1035
1370
631
291
299
562
705
809
1011
1241
1654
1643
1109
651
477
360
157
104
63
40
32
35
103
512
1119
1783
1046
771
891
1079
1207
1201
1328
1449
1980
1983
1315
762
674
545
245
131
93
45
43
39
105
478
1176
1717
1044
805
833
976
1007
936
1039
1110
1623
1627
1195
643
479
384
274
172
67
49
29
44
94
471
1056
1533
1125
895
896
1173
1152
1085
1260
1352
1807
1792
1223
842
540
495
445
311
246
157
99
76
56
156
235
501
642
728
575
533
670
729
983
744
856
897
882
689
467
448
388
344
247
186
116
73
65
115
187
382
808
1319
1823
2295
2391
2378
2160
1981
1292
1051
833
545
477
338
240
131
88
47
33
54
124
609
1402
2200
1280
851
815
1015
1153
1033
1167
1413
2121
2308
1698
935
648
511
284
145
55
53
40
46
136
653
1574
2528
1469
897
859
1001
970
757
799
1143
1926
2129
1457
895
723
597
231
168
85
51
37
47
143
662
1596
2632
1446
945
1044
1343
1331
1302
1439
1687
2456
2652
1857
1085
794
733
427
208
106
69
71
71
120
613
1564
2708
1551
988
1028
1336
1325
1274
1521
1731
2396
2523
1782
1149
870
693
489
242
163
96
60
44
127
518
1323
2073
1437
1036
1134
1363
1614
1408
1654
1771
2349
2356
1759
1086
864
720
668
545
421
234
165
100
87
155
314
656
1107
1535
1941
2196
2145
2251
2197
1942
1821
1645
1329
1048
813
748
730
672
534
427
200
105
65
112
193
399
885
1404
1715
2119
2378
2364
2441
2172
1607
1357
875
724
521
415
270
168
92
44
33
45
130
582
1544
2603
1452
954
974
1299
1298
1313
1434
1807
2508
2678
1739
1154
796
524
279
152
60
41
39
47
147
673
1729
2888
1580
1015
970
1217
1239
1144
1386
1793
2647
2844
1987
1213
841
700
310
181
109
42
44
66
157
691
1771
2997
1637
1083
1057
1331
1172
1238
1326
1649
2630
2858
1931
1184
934
805
474
203
111
82
37
56
124
690
1669
3022
1634
1111
1100
1355
1396
1206
1222
1595
2467
2682
1853
1162
815
829
573
45
19
7
65
70
138
563
1376
2259
1484
1078
1120
1307
1316
1261
1376
1685
2250
2291
1761
1202
811
782
742
600
439
291
205
167
84
181
311
698
1213
1673
1998
2345
2409
2370
2327
2180
1767
1713
1337
1028
829
863
722
720
613
414
253
146
87
140
192
430
922
1314
1781
2122
2203
2200
2163
1983
1568
1338
1001
715
501
436
293
147
89
56
32
42
141
657
1593
2814
1489
933
869
1111
1140
1123
1215
1625
2452
2616
1869
1183
834
536
330
193
107
65
68
70
165
750
1871
3201
1734
1036
947
1153
1192
1096
1172
1556
2633
2896
1929
1224
832
681
316
175
110
53
36
61
164
722
1836
3195
1806
1083
1071
1280
1327
1315
1462
1736
2727
3032
2050
1294
1011
818
487
244
162
108
74
59
153
700
1805
3317
1811
1114
1079
1244
1230
1222
1450
1928
2751
3058
2056
1378
985
938
633
353
200
125
78
73
154
604
1457
2532
1605
1154
1202
1560
1519
1430
1559
1889
2536
2518
1793
1264
865
749
751
646
